country,country_num,year,iso3,devlev2,china,bndgrn,x1l,x2l,envtax,gdpg,bigtech,ngain,rating,riskeqt,riskctr,dum9,dum12,fie,cbmndsq,cbmnd,cbenfsq,cbenf,cbsyssq,cbsys,wui,gprlog,infl,enrgoil,prodstr,hierarchy,openness,purity
Peru,Peru,2014,PER,High income,0,-0.8964881300926208,,-0.8964881300926208,0.4710056282675,2.382157371805405,0.009999999776482582,48.0921002929363,4.0,0.07550000000000001,0.018,0,0,0.5937337875366211,16.0,4.0,36.0,6.0,4.0,2.0,0.1242500022053719,4.438490390777588,3.5,43.77700042724609,-1.224433422088623,2.76,51.29,0.16084
Peru,Peru,2018,PER,High income,0,-3.616629600524902,,-3.616629362106323,0.4505835590741,3.969156870180754,0.009999999776482582,48.4014552459761,4.0,0.07625367472106136,0.01665367472106136,0,0,0.6361218388795853,16.0,4.0,36.0,6.0,4.0,2.0,0.3917500078678131,5.035384178161621,2.329999923706055,43.6879997253418,-1.10760772228241,2.76,51.29,0.16084
Peru,Peru,2019,PER,High income,0,0.2473435550928116,,0.2473435699939728,0.52062206885278,2.203974748655597,0.009999999776482582,48.6489084217956,4.0,0.06383357620653343,0.01183357620653343,0,0,0.6488442756571771,16.0,4.0,36.0,6.0,4.0,2.0,0.3752500116825104,5.07627010345459,2.390000104904175,44.12099838256836,-1.020559310913086,2.76,51.29,0.16084
Peru,Peru,2020,PER,High income,0,-1.609437942504883,,-1.609437942504883,0.5362407309183633,-11.14881187683928,,,4.0,0.05882057965865632,0.01162057965865632,0,0,0.6488442756571771,16.0,4.0,36.0,6.0,4.0,2.0,0.3397499918937683,5.258591651916504,1.779999971389771,39.05300140380859,-1.021750211715698,2.76,51.29,0.16084
Philippines,Philippines,2019,PHL,Low income,0,-0.357108473777771,,-0.357108473777771,0.37441087100164,6.118525662562547,0.7300000190734863,43.6032252487563,3.0,0.07077356826750791,0.01877356826750792,0,0,0.8238067390966416,1.0,1.0,36.0,6.0,0.0,0.0,0.1284999996423721,5.07627010345459,3.029999971389771,45.05799865722656,-0.3615473806858063,2.68,49.34,0.252371
Philippines,Philippines,2020,PHL,Low income,0,-0.5828020572662354,,-0.5828019976615906,0.3856431971316892,-9.573029874610057,,,3.0,0.065635656450951,0.018435656450951,0,0,0.8238067390966416,1.0,1.0,36.0,6.0,0.0,0.0,0.2154999971389771,5.258591651916504,3.220000028610229,40.76399993896484,-0.3041577041149139,2.68,49.34,0.252371
Philippines,Philippines,2021,PHL,Low income,0,-2.33078408241272,,-2.33078408241272,0.3972124930456399,,,,3.0,0.06122465743883156,0.01882465743883156,0,0,,1.0,1.0,36.0,6.0,0.0,0.0,0.3384999930858612,5.353901863098145,3.589999914169312,41.80400085449219,-0.34185990691185,2.68,49.34,0.252371
Poland,Poland,2016,POL,High income,0,-0.1650171130895615,-0.1650171130895615,0.528130054473877,2.57809706195,3.141731229070132,0.009999999776482582,62.4732943720167,4.0,0.0689544369201574,0.0120544369201574,1,1,0.8107611536979675,16.0,4.0,9.0,3.0,0.0,0.0,0.4192500114440918,4.723831653594971,-0.25,28.62199974060059,-0.9721313714981079,2.51,49.06,0.04348
Poland,Poland,2018,POL,High income,0,0.1240787282586098,0.1240787282586098,0.8172259330749512,2.537007102224,5.353704746044002,0.009999999776482582,62.1781102435787,4.0,0.07137026634420879,0.01177026634420878,1,1,0.8435159043073654,16.0,4.0,9.0,3.0,0.0,0.0,0.153999999165535,5.035384178161621,0.7400000095367432,30.32399940490723,-0.8146758675575256,2.51,49.06,0.04348
Poland,Poland,2019,POL,High income,0,0.9120810627937317,0.8172263503074646,1.558925151824951,2.4792440464197,4.540919514327641,0.009999999776482582,61.5384627870149,4.0,0.06036358017604618,0.00836358017604618,1,1,0.8603862223935128,16.0,4.0,9.0,3.0,0.0,0.0,0.239999994635582,5.07627010345459,1.889999985694885,31.81900024414063,-0.7663194537162781,2.51,49.06,0.04348
Poland,Poland,2021,POL,High income,0,0.1240787282586098,,0.1240787282586098,2.553621367812291,,,,4.0,0.05078634028080647,0.008386340280806474,1,1,,16.0,4.0,9.0,3.0,0.0,0.0,0.2462500035762787,5.353901863098145,4.099999904632568,31.02300071716309,-0.7646859884262085,2.51,49.06,0.04348
Portugal,Portugal,2019,PRT,High income,0,0.2284391075372696,,0.2284390926361084,2.5270528778636,2.488958606126701,0.009999999776482582,63.2044802636777,3.0,0.07370971875484328,0.02170971875484328,1,1,0.7909181272773743,25.0,5.0,36.0,6.0,4.0,2.0,0.3752500116825104,5.07627010345459,0.4900000095367432,47.70800018310547,0.1254529505968094,1.89,50.29,-0.04027
Portugal,Portugal,2020,PRT,High income,0,0.5295441150665283,,0.5295441746711731,2.3816292010327,-7.563616422514642,,,3.0,0.06851895817076799,0.02131895817076799,1,1,0.7909181272773743,25.0,5.0,36.0,6.0,4.0,2.0,0.4082500040531158,5.258591651916504,-0.03999999910593033,43.00099945068359,0.1210743635892868,1.89,50.29,-0.04027
Portugal,Portugal,2021,PRT,High income,0,0.8660162687301636,,0.8660162687301636,2.453078077063681,,,,3.0,0.06122465743883156,0.01882465743883156,1,1,,25.0,5.0,36.0,6.0,4.0,2.0,0.1759999990463257,5.353901863098145,0.75,44.10499954223633,0.03597579151391983,1.89,50.29,-0.04027
Romania,Romania,2021,ROU,High income,0,-0.7274763584136963,,-0.7274763584136963,,,,,3.0,0.06416879817571043,0.02176879817571043,1,0,,16.0,4.0,36.0,6.0,1.0,1.0,0.3997499942779541,5.353901863098145,4.71999979019165,32.43399810791016,-0.6320878863334656,2.0,53.13,0.264049
Russia,Russia,2019,RUS,High income,0,-4.914130210876465,,-4.914130210876465,,2.032982739196783,15.76000022888184,60.9071292132599,3.0,0.07370971875484328,0.02170971875484328,0,0,0.7821219223937989,36.0,6.0,36.0,6.0,1.0,1.0,0.3457500040531158,5.07627010345459,4.170000076293945,22.28499984741211,-1.042861580848694,2.72,,0.13834
Russia,Russia,2020,RUS,High income,0,0.2592370808124542,,0.2592370808124542,,-2.951273899148916,,,3.0,0.06851895817076799,0.02131895817076799,0,0,0.7821219223937989,36.0,6.0,36.0,6.0,1.0,1.0,0.158500000834465,5.258591651916504,3.009999990463257,21.94000053405762,-0.8469317555427551,2.72,,0.13834
Russia,Russia,2021,RUS,High income,0,0.06078648939728737,,0.06078650802373886,,,,,3.0,0.06416879817571043,0.02176879817571043,0,0,,36.0,6.0,36.0,6.0,1.0,1.0,0.1289999932050705,5.353901863098145,6.690000057220459,21.42900085449219,-1.171700477600098,2.72,,0.13834
Serbia,Serbia,2021,SRB,High income,0,0.8172263503074646,0.8172263503074646,1.510373473167419,,,,,3.0,0.07210905652668677,0.02970905652668676,0,0,,36.0,6.0,36.0,6.0,1.0,1.0,,5.353901863098145,,,-1.326932787895203,1.61,52.44,0.084324
Seychelles,Seychelles,2018,SYC,High income,0,-4.199705123901367,-4.199705123901367,-3.506557941436768,4.4867144789335,1.327618767598864,,51.1715861428513,,,,0,0,0.7962255364179612,16.0,4.0,36.0,6.0,0.0,0.0,,5.035384178161621,,,0.2009393572807312,,,
Singapore,Singapore,2017,SGP,High income,0,0.07117954641580582,,0.07117952406406403,0.272275656269965,4.520379475555075,0.009999999776482582,71.1114983698208,4.0,0.0508,0.01,0,0,0.857803909778595,,,,,,,0.1060000061988831,4.800258159637451,1.450000047683716,86.3499984741211,0.6069813370704651,2.82,,0.363246
Singapore,Singapore,2018,SGP,High income,0,-2.908041954040527,,-2.908041954040527,0.250510772613951,3.497469601101372,0.5299999713897705,71.2713473647009,4.0,0.0596,0.01,0,0,0.874959987974167,,,,,,,0.06399999558925629,5.035384178161621,1.679999947547913,86.91400146484375,0.5058189630508423,2.82,,0.363246
Singapore,Singapore,2019,SGP,High income,0,0.9924066066741943,,0.9924066662788391,0.2580260957923695,1.345217485735688,3.079999923706055,71.239074776049,4.0,0.052,0.01,0,0,0.8924591877336503,,,,,,,0.04474999755620956,5.07627010345459,1.039999961853027,86.37200164794922,0.6525870561599731,2.82,,0.363246
