,bndgrn,cbmnd,infl,rating,fie,gdpg,dum9,dum12
bndgrn,1.0,,-0.0416,0.0762,0.048,0.14,,
cbmnd,,,,,,,,
infl,-0.0416,,1.0,0.0183,0.1548,-0.0089,,
rating,0.0762,,0.0183,1.0,-0.0273,0.0682,,
fie,0.048,,0.1548,-0.0273,1.0,0.1232,,
gdpg,0.14,,-0.0089,0.0682,0.1232,1.0,,
dum9,,,,,,,,
dum12,,,,,,,,
