,bndgrn,cbmnd,infl,rating,fie,gdpg,dum9,dum12
bndgrn,1.0,-0.1195,-0.1194,0.2698,0.207,0.159,0.2876,0.3157
cbmnd,-0.1195,1.0,-0.0164,0.095,-0.3759,-0.1343,-0.1221,0.0028
infl,-0.1194,-0.0164,1.0,-0.2252,-0.2851,0.0051,-0.158,-0.0782
rating,0.2698,0.095,-0.2252,1.0,0.3565,0.193,0.0799,0.3125
fie,0.207,-0.3759,-0.2851,0.3565,1.0,0.0353,0.2686,0.2801
gdpg,0.159,-0.1343,0.0051,0.193,0.0353,1.0,0.0484,0.1334
dum9,0.2876,-0.1221,-0.158,0.0799,0.2686,0.0484,1.0,0.5403
dum12,0.3157,0.0028,-0.0782,0.3125,0.2801,0.1334,0.5403,1.0
