,bndgrn,cbmnd,infl,rating,fie,gdpg,dum9,dum12
bndgrn,1.0,,-0.1284,0.0974,0.3871,-0.1489,,
cbmnd,,,,,,,,
infl,-0.1284,,1.0,0.0127,0.0652,0.0407,,
rating,0.0974,,0.0127,1.0,-0.0656,0.1063,,
fie,0.3871,,0.0652,-0.0656,1.0,-0.2392,,
gdpg,-0.1489,,0.0407,0.1063,-0.2392,1.0,,
dum9,,,,,,,,
dum12,,,,,,,,
