year,bndgrn
1991,-3.6064820051193234
1992,-3.4241592645645142
1993,-4.117306447029114
2000,-3.6760666131973263
2003,-1.122716283798218
2008,-2.250692582130432
2013,-1.1520800352096552
2014,1.257218384742737
2015,1.88626172542572
2016,1.417590761184693
2017,2.0635442972183227
2018,1.837655687332154
2019,3.0358402967453006
2020,3.6510739564895625
2021,4.200318121910095
